seed,state,rep,margin,requested_l1,l1_down,projection_down,gap_down,flip_down,global_flips_down,strict_flip_down,loss_down,l1_up,projection_up,gap_up,flip_up,global_flips_up,strict_flip_up,loss_up
11,0,0,0.006652309533436096,0.05,0.04999999999999993,-0.00022588487380024595,0.00643771890332534,0,0,0,0.0,0.050000000000000024,0.0002258848738010133,0.00686690016354774,0,0,0,0.0
11,0,1,0.006652309533436096,0.05,0.04999999999999993,-0.00022588487380024595,0.00643771890332534,0,0,0,0.0,0.050000000000000024,0.0002258848738010133,0.00686690016354774,0,0,0,0.0
11,0,2,0.006652309533436096,0.05,0.05000000000000002,-0.01039253003443466,-0.0033907068944794005,1,1,1,0.007162648219040335,0.050000000000000024,0.010392530034434633,0.01627903830614663,0,0,0,0.0
11,0,3,0.006652309533436096,0.05,0.049999999999999996,-0.010166645160633647,-0.0031761162643677565,1,1,1,0.007162648219040335,0.049999999999999996,0.010166645160633592,0.0160697983610385,0,0,0,0.0
11,0,4,0.006652309533436096,0.05,0.04999999999999993,-0.00022588487380024595,0.00643771890332534,0,0,0,0.0,0.050000000000000024,0.0002258848738010133,0.00686690016354774,0,0,0,0.0
11,0,0,0.006652309533436096,0.15,0.14999999999999997,-0.031177590103303177,-0.023476739750308617,1,1,1,0.007162648219040335,0.14999999999999997,0.031177590103303232,0.034160687001454804,0,0,0,0.0
11,0,1,0.006652309533436096,0.15,0.15000000000000002,-0.030499935481900775,-0.02283296785997546,1,1,1,0.007162648219040335,0.15000000000000002,0.030499935481900886,0.033562783858309686,0,0,0,0.0
11,0,2,0.006652309533436096,0.15,0.15000000000000002,-0.030499935481900775,-0.02283296785997546,1,1,1,0.007162648219040335,0.15000000000000002,0.030499935481900886,0.033562783858309686,0,0,0,0.0
11,0,3,0.006652309533436096,0.15,0.14999999999999997,-0.031177590103303177,-0.023476739750308617,1,1,1,0.007162648219040335,0.14999999999999997,0.031177590103303232,0.034160687001454804,0,0,0,0.0
11,0,4,0.006652309533436096,0.15,0.15000000000000002,-0.030499935481900775,-0.02283296785997546,1,1,1,0.007162648219040335,0.15000000000000002,0.030499935481900886,0.033562783858309686,0,0,0,0.0
11,0,0,0.006652309533436096,0.35,0.15000000000000002,-0.03049993548190083,-0.02283296785997546,1,1,1,0.007162648219040335,0.15000000000000002,0.03049993548190083,0.033562783858309686,0,0,0,0.0
11,0,1,0.006652309533436096,0.35,0.15000000000000002,-0.000677654621402106,0.006008537643104717,0,0,0,0.0,0.15000000000000008,0.0006776546214030121,0.0072960814237683635,0,0,0,0.0
11,0,2,0.006652309533436096,0.35,0.15000000000000002,-0.000677654621402106,0.006008537643104717,0,0,0,0.0,0.15000000000000008,0.0006776546214030121,0.0072960814237683635,0,0,0,0.0
11,0,3,0.006652309533436096,0.35,0.15000000000000002,-0.000677654621402106,0.006008537643104717,0,0,0,0.0,0.15000000000000008,0.0006776546214030121,0.0072960814237683635,0,0,0,0.0
11,0,4,0.006652309533436096,0.35,0.15000000000000002,-0.000677654621402106,0.006008537643104717,0,0,0,0.0,0.15000000000000008,0.0006776546214030121,0.0072960814237683635,0,0,0,0.0
11,0,0,0.006652309533436096,0.7,0.15000000000000008,-0.031177590103303843,-0.023476739750308617,1,1,1,0.007162648219040335,0.15000000000000008,0.031177590103303843,0.03416068700145569,0,0,0,0.0
11,0,1,0.006652309533436096,0.7,0.15000000000000002,-0.000677654621402106,0.006008537643104717,0,0,0,0.0,0.15000000000000008,0.0006776546214030121,0.0072960814237683635,0,0,0,0.0
11,0,2,0.006652309533436096,0.7,0.15000000000000002,-0.03049993548190083,-0.02283296785997546,1,1,1,0.007162648219040335,0.15000000000000002,0.03049993548190083,0.033562783858309686,0,0,0,0.0
