state,action,row,column,true_margin,value_span,rival_action,naive_critical_mass,critical_mass,margin_factor,fraction_of_cap,fraction_of_naive_critical,fraction_of_critical,mass,actual_l1,revisit_weight,revisit_weight_rival,predicted_shift,corrected_shift,measured_shift,residual,relative_residual,corrected_relative_residual,naive_predicted_flip,predicted_flip,measured_margin_shift,predicted_margin_shift,decision_flip
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.04,0.1691910151011719,0.1691910151011719,0.0028500000000000005,0.0057000000000000245,0.07671601615074027,0.07671601615074027,-0.001125511002729332,-0.0012118557229925514,-0.001215398864229833,-8.988786150050101e-05,0.07986404511597445,0.0029237319014611463,0,0,-0.001128801695153392,-0.001125511002729332,0
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.08,0.3383820302023438,0.3383820302023438,0.005700000000000001,0.011400000000000035,0.07671601615074027,0.07671601615074027,-0.0022510220054587364,-0.0024237114459851805,-0.002437925569222621,-0.00018690356376388452,0.08303053604569068,0.005864610352435233,0,0,-0.002264223372415053,-0.0022510220054587364,0
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.12,0.5075730453035157,0.5075730453035157,0.00855,0.01709999999999995,0.07671601615074027,0.07671601615074027,-0.003376533008187472,-0.00363556716897709,-0.0036676430023945272,-0.0002911099942070551,0.08621565182427267,0.008822786631793221,0,0,-0.0034063234384733576,-0.003376533008187472,0
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.16,0.6767640604046876,0.6767640604046876,0.011400000000000002,0.022799999999999973,0.07671601615074027,0.07671601615074027,-0.004502044010916808,-0.004847422891969645,-0.0049046147931379735,-0.000402570782221166,0.08941955725998899,0.011798413805214646,0,0,-0.004555160989126783,-0.004502044010916808,0
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.2,0.8459550755058595,0.8459550755058595,0.014250000000000002,0.028499999999999984,0.07671601615074027,0.07671601615074027,-0.005627555013646202,-0.006059278614962263,-0.006148905323786202,-0.0005213503101400008,0.09264241911021459,0.014791646748611775,0,0,-0.005710795819465986,-0.005627555013646202,0
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.24000000000000002,1.0151460906070315,1.0151460906070315,0.017100000000000004,0.03420000000000001,0.07671601615074027,0.07671601615074027,-0.0067530660163755375,-0.007271134337954819,-0.007379761922299721,-0.0006266959059241838,0.09280168510192353,0.014939565038411389,1,1,-0.006869423236693706,-0.0067530660163755375,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.27999999999999997,1.184337105708203,1.184337105708203,0.01995,0.03990000000000002,0.07671601615074027,0.07671601615074027,-0.00787857701910494,-0.008482990060947446,-0.008524665795082598,-0.0006460887759776584,0.08200577012967483,0.004912859007935346,1,1,-0.008014327109476582,-0.00787857701910494,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.32,1.3535281208093752,1.3535281208093752,0.022800000000000004,0.04560000000000004,0.07671601615074027,0.07671601615074027,-0.00900408802183426,-0.009694845783939985,-0.009669569667864586,-0.0006654816460303255,0.07390883390039954,0.0026071705150039533,1,1,-0.00915923098225857,-0.00900408802183426,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.36,1.522719135910547,1.522719135910547,0.025650000000000003,0.05129999999999996,0.07671601615074027,0.07671601615074027,-0.01012959902456303,-0.01090670150693193,-0.010814473540646574,-0.0006848745160835442,0.06761121683324363,0.00845608236612498,1,1,-0.010304134855040559,-0.01012959902456303,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.39999999999999997,1.6919101510117187,1.6919101510117187,0.0285,0.05699999999999997,0.07671601615074027,0.07671601615074027,-0.011255110027292403,-0.012118557229924526,-0.01195937741342945,-0.0007042673861370474,0.06257312317954036,0.01313521184700191,1,1,-0.011449038727823435,-0.011255110027292403,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.44,1.8611011661128907,1.8611011661128907,0.03135,0.06269999999999999,0.07671601615074027,0.07671601615074027,-0.012380621030021726,-0.013330412952917068,-0.013104281286211439,-0.0007236602561897128,0.0584510465537158,0.016963590513236516,1,1,-0.012593942600605423,-0.012380621030021726,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.48,2.0302921812140626,2.0302921812140626,0.0342,0.06840000000000002,0.07671601615074027,0.07671601615074027,-0.013506132032751075,-0.014542268675909638,-0.014249185158994315,-0.0007430531262432403,0.05501598269892577,0.020153906068372775,1,1,-0.0137388464733883,-0.013506132032751075,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.52,2.1994831963152346,2.1994831963152346,0.03705000000000001,0.07410000000000003,0.07671601615074027,0.07671601615074027,-0.014631643035480476,-0.015754124398902263,-0.015394089031776304,-0.0007624459962958276,0.05210939020634672,0.022853403845855547,1,1,-0.014883750346170288,-0.014631643035480476,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.56,2.3686742114164065,2.3686742114164065,0.039900000000000005,0.07980000000000005,0.07671601615074027,0.07671601615074027,-0.015757154038209823,-0.01696598012189483,-0.01653899290455918,-0.0007818388663493568,0.049618025212767536,0.025167259083642143,1,1,-0.016028654218953164,-0.015757154038209823,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.6000000000000001,2.5378652265175785,2.5378652265175785,0.04275000000000001,0.08549999999999996,0.07671601615074027,0.07671601615074027,-0.01688266504093854,-0.01817783584488672,-0.01768389677734028,-0.0008012317364017411,0.04745884221826622,0.027172600289785354,1,1,-0.017173558091734265,-0.01688266504093854,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.64,2.7070562416187505,2.7070562416187505,0.04560000000000001,0.09119999999999998,0.07671601615074027,0.07671601615074027,-0.01800817604366794,-0.019389691567879345,-0.018828800650122268,-0.0008206246064543267,0.04556955709808689,0.0289272738451518,1,1,-0.018318461964516253,-0.01800817604366794,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.68,2.876247256719922,2.876247256719922,0.04845000000000001,0.0969,0.07671601615074027,0.07671601615074027,-0.019133687046397237,-0.02060154729087186,-0.019973704522905145,-0.000840017476507908,0.04390254081562803,0.030475515217485597,1,1,-0.01946336583729913,-0.019133687046397237,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.7200000000000001,3.0454382718210944,3.0454382718210944,0.05130000000000001,0.10260000000000002,0.07671601615074027,0.07671601615074027,-0.02025919804912664,-0.021813403013864485,-0.02111860839568802,-0.0008594103465613817,0.04242074856454796,0.031851729770676115,1,1,-0.020608269710082006,-0.02025919804912664,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.76,3.2146292869222655,3.2146292869222655,0.054150000000000004,0.10830000000000004,0.07671601615074027,0.07671601615074027,-0.021384709051855987,-0.023025258736857054,-0.02226351226847001,-0.0008788032166140228,0.04109493444512172,0.03308307963409333,1,1,-0.021753173582863994,-0.021384709051855987,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.8,3.383820302023438,3.383820302023438,0.05700000000000001,0.11400000000000005,0.07671601615074027,0.07671601615074027,-0.02251022005458544,-0.024237114459849735,-0.023408416141251998,-0.0008981960866665563,0.03990170173763314,0.03419129451117323,1,1,-0.022898077455645982,-0.02251022005458544,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.8400000000000001,3.55301131712461,3.55301131712461,0.059850000000000014,0.11970000000000008,0.07671601615074027,0.07671601615074027,-0.023635731057314684,-0.02544897018284219,-0.024553320014034874,-0.0009175889567201896,0.03882211024042847,0.035193965114202065,1,1,-0.02404298132842886,-0.023635731057314684,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.88,3.7222023322257813,3.7222023322257813,0.0627,0.12539999999999998,0.07671601615074027,0.07671601615074027,-0.024761242060043452,-0.026660825905834136,-0.025698223886816862,-0.0009369818267734101,0.03784066342477191,0.036105483844243155,1,1,-0.025187885201210847,-0.024761242060043452,1
0,3,0,0,0.006652309533436096,0.41570120137738,1,0.01684486613131184,0.01684486613131184,1.0,0.92,3.8913933473269537,3.8913933473269537,0.06555000000000001,0.1311,0.07671601615074027,0.07671601615074027,-0.025886753062772907,-0.02787268162882682,-0.02684312775959885,-0.0009563746968259436,0.03694455981044924,0.03693774007604537,1,1,-0.026332789073992835,-0.025886753062772907,1
