seed,episode,policy,return_value
66,16,reference,264.0
66,16,learned_model,265.0
66,17,reference,70.0
66,17,learned_model,70.0
66,18,reference,162.0
66,18,learned_model,162.0
66,19,reference,68.0
66,19,learned_model,70.0
77,0,reference,84.0
77,0,learned_model,83.0
77,1,reference,76.0
77,1,learned_model,76.0
77,2,reference,225.0
77,2,learned_model,221.0
77,3,reference,89.0
77,3,learned_model,86.0
77,4,reference,81.0
77,4,learned_model,81.0
77,5,reference,203.0
77,5,learned_model,203.0
77,6,reference,68.0
77,6,learned_model,68.0
77,7,reference,176.0
77,7,learned_model,176.0
77,8,reference,232.0
77,8,learned_model,228.0
77,9,reference,154.0
77,9,learned_model,152.0
77,10,reference,172.0
77,10,learned_model,170.0
77,11,reference,105.0
77,11,learned_model,105.0
77,12,reference,72.0
77,12,learned_model,72.0
77,13,reference,120.0
77,13,learned_model,120.0
77,14,reference,194.0
77,14,learned_model,194.0
77,15,reference,152.0
77,15,learned_model,152.0
77,16,reference,230.0
77,16,learned_model,230.0
77,17,reference,85.0
77,17,learned_model,85.0
77,18,reference,123.0
77,18,learned_model,123.0
77,19,reference,112.0
77,19,learned_model,112.0
88,0,reference,103.0
88,0,learned_model,101.0
88,1,reference,88.0
88,1,learned_model,88.0
88,2,reference,134.0
88,2,learned_model,134.0
88,3,reference,92.0
88,3,learned_model,90.0
88,4,reference,72.0
88,4,learned_model,72.0
88,5,reference,234.0
88,5,learned_model,236.0
88,6,reference,76.0
88,6,learned_model,78.0
88,7,reference,88.0
88,7,learned_model,88.0
88,8,reference,220.0
88,8,learned_model,220.0
88,9,reference,70.0
88,9,learned_model,69.0
88,10,reference,66.0
88,10,learned_model,66.0
88,11,reference,231.0
88,11,learned_model,231.0
88,12,reference,66.0
88,12,learned_model,66.0
88,13,reference,91.0
88,13,learned_model,91.0
88,14,reference,186.0
88,14,learned_model,184.0
88,15,reference,127.0
88,15,learned_model,127.0
88,16,reference,110.0
88,16,learned_model,106.0
88,17,reference,184.0
88,17,learned_model,181.0
88,18,reference,114.0
88,18,learned_model,114.0
88,19,reference,194.0
88,19,learned_model,194.0
99,0,reference,68.0
99,0,learned_model,69.0
99,1,reference,182.0
99,1,learned_model,188.0
99,2,reference,202.0
99,2,learned_model,202.0
99,3,reference,186.0
99,3,learned_model,198.0
99,4,reference,73.0
99,4,learned_model,74.0
99,5,reference,276.0
99,5,learned_model,165.0
99,6,reference,232.0
99,6,learned_model,232.0
99,7,reference,149.0
99,7,learned_model,149.0
99,8,reference,144.0
99,8,learned_model,144.0
99,9,reference,178.0
99,9,learned_model,186.0
99,10,reference,216.0
99,10,learned_model,225.0
99,11,reference,77.0
99,11,learned_model,77.0
99,12,reference,127.0
99,12,learned_model,127.0
99,13,reference,171.0
99,13,learned_model,173.0
99,14,reference,88.0
99,14,learned_model,92.0
99,15,reference,122.0
99,15,learned_model,122.0
99,16,reference,420.0
99,16,learned_model,428.0
99,17,reference,74.0
99,17,learned_model,74.0
99,18,reference,163.0
99,18,learned_model,166.0
99,19,reference,175.0
99,19,learned_model,175.0
110,0,reference,113.0
110,0,learned_model,113.0
110,1,reference,216.0
110,1,learned_model,216.0
110,2,reference,66.0
110,2,learned_model,66.0
110,3,reference,187.0
110,3,learned_model,187.0
110,4,reference,86.0
110,4,learned_model,86.0
110,5,reference,152.0
110,5,learned_model,150.0
110,6,reference,230.0
110,6,learned_model,230.0
110,7,reference,177.0
110,7,learned_model,177.0
110,8,reference,126.0
110,8,learned_model,126.0
110,9,reference,110.0
110,9,learned_model,110.0
110,10,reference,93.0
110,10,learned_model,93.0
110,11,reference,182.0
110,11,learned_model,187.0
110,12,reference,139.0
110,12,learned_model,139.0
110,13,reference,90.0
110,13,learned_model,90.0
110,14,reference,221.0
110,14,learned_model,402.0
110,15,reference,72.0
110,15,learned_model,72.0
110,16,reference,72.0
110,16,learned_model,72.0
110,17,reference,178.0
110,17,learned_model,215.0
110,18,reference,244.0
110,18,learned_model,244.0
110,19,reference,90.0
110,19,learned_model,90.0
121,0,reference,83.0
121,0,learned_model,83.0
121,1,reference,162.0
121,1,learned_model,158.0
121,2,reference,86.0
121,2,learned_model,83.0
121,3,reference,193.0
121,3,learned_model,193.0
121,4,reference,91.0
121,4,learned_model,91.0
121,5,reference,76.0
121,5,learned_model,76.0
121,6,reference,65.0
121,6,learned_model,61.0
121,7,reference,139.0
121,7,learned_model,139.0
121,8,reference,94.0
121,8,learned_model,94.0
121,9,reference,76.0
121,9,learned_model,74.0
121,10,reference,233.0
121,10,learned_model,233.0
121,11,reference,348.0
121,11,learned_model,351.0
121,12,reference,290.0
121,12,learned_model,289.0
121,13,reference,196.0
121,13,learned_model,200.0
121,14,reference,246.0
121,14,learned_model,246.0
121,15,reference,156.0
121,15,learned_model,154.0
121,16,reference,156.0
121,16,learned_model,153.0
121,17,reference,361.0
121,17,learned_model,357.0
121,18,reference,154.0
121,18,learned_model,155.0
121,19,reference,252.0
121,19,learned_model,254.0
132,0,reference,250.0
132,0,learned_model,250.0
132,1,reference,74.0
132,1,learned_model,76.0
132,2,reference,82.0
132,2,learned_model,82.0
132,3,reference,93.0
132,3,learned_model,93.0
132,4,reference,64.0
132,4,learned_model,63.0
132,5,reference,101.0
132,5,learned_model,99.0
132,6,reference,85.0
132,6,learned_model,82.0
132,7,reference,72.0
132,7,learned_model,74.0
132,8,reference,184.0
132,8,learned_model,184.0
132,9,reference,74.0
132,9,learned_model,74.0
132,10,reference,90.0
132,10,learned_model,88.0
132,11,reference,142.0
132,11,learned_model,143.0
132,12,reference,106.0
132,12,learned_model,102.0
132,13,reference,192.0
132,13,learned_model,192.0
132,14,reference,74.0
132,14,learned_model,74.0
132,15,reference,236.0
132,15,learned_model,238.0
132,16,reference,282.0
132,16,learned_model,280.0
132,17,reference,333.0
132,17,learned_model,333.0
132,18,reference,68.0
132,18,learned_model,66.0
132,19,reference,114.0
132,19,learned_model,114.0
143,0,reference,168.0
143,0,learned_model,166.0
143,1,reference,209.0
143,1,learned_model,209.0
143,2,reference,159.0
143,2,learned_model,157.0
143,3,reference,375.0
143,3,learned_model,421.0
143,4,reference,118.0
143,4,learned_model,117.0
143,5,reference,244.0
143,5,learned_model,284.0
143,6,reference,79.0
143,6,learned_model,79.0
143,7,reference,181.0
143,7,learned_model,181.0
143,8,reference,123.0
143,8,learned_model,121.0
143,9,reference,167.0
143,9,learned_model,210.0
143,10,reference,281.0
143,10,learned_model,278.0
143,11,reference,140.0
143,11,learned_model,171.0
143,12,reference,163.0
143,12,learned_model,163.0
143,13,reference,71.0
143,13,learned_model,85.0
143,14,reference,250.0
143,14,learned_model,297.0
143,15,reference,174.0
143,15,learned_model,174.0
143,16,reference,172.0
143,16,learned_model,196.0
143,17,reference,301.0
143,17,learned_model,298.0
143,18,reference,124.0
143,18,learned_model,169.0
143,19,reference,166.0
143,19,learned_model,189.0
154,0,reference,138.0
154,0,learned_model,140.0
154,1,reference,85.0
154,1,learned_model,86.0
154,2,reference,245.0
154,2,learned_model,245.0
154,3,reference,90.0
154,3,learned_model,86.0
154,4,reference,219.0
154,4,learned_model,215.0
154,5,reference,65.0
154,5,learned_model,65.0
154,6,reference,89.0
154,6,learned_model,90.0
154,7,reference,141.0
154,7,learned_model,150.0
154,8,reference,116.0
154,8,learned_model,118.0
154,9,reference,188.0
154,9,learned_model,195.0
154,10,reference,378.0
154,10,learned_model,378.0
154,11,reference,163.0
154,11,learned_model,163.0
154,12,reference,76.0
154,12,learned_model,79.0
154,13,reference,75.0
154,13,learned_model,75.0
154,14,reference,248.0
154,14,learned_model,257.0
154,15,reference,189.0
154,15,learned_model,191.0
154,16,reference,84.0
154,16,learned_model,89.0
154,17,reference,190.0
154,17,learned_model,195.0
154,18,reference,144.0
154,18,learned_model,153.0
154,19,reference,213.0
154,19,learned_model,213.0
165,0,reference,160.0
165,0,learned_model,156.0
165,1,reference,258.0
165,1,learned_model,199.0
165,2,reference,190.0
165,2,learned_model,190.0
165,3,reference,251.0
165,3,learned_model,251.0
165,4,reference,232.0
165,4,learned_model,232.0
165,5,reference,214.0
165,5,learned_model,210.0
165,6,reference,163.0
165,6,learned_model,158.0
165,7,reference,82.0
165,7,learned_model,82.0
165,8,reference,162.0
165,8,learned_model,162.0
165,9,reference,79.0
165,9,learned_model,79.0
165,10,reference,80.0
165,10,learned_model,80.0
165,11,reference,298.0
165,11,learned_model,296.0
165,12,reference,127.0
165,12,learned_model,127.0
165,13,reference,75.0
165,13,learned_model,73.0
165,14,reference,74.0
165,14,learned_model,74.0
165,15,reference,288.0
165,15,learned_model,284.0
165,16,reference,250.0
165,16,learned_model,248.0
165,17,reference,66.0
165,17,learned_model,63.0
165,18,reference,94.0
165,18,learned_model,94.0
165,19,reference,75.0
165,19,learned_model,74.0
176,0,reference,207.0
176,0,learned_model,214.0
176,1,reference,64.0
176,1,learned_model,72.0
176,2,reference,230.0
176,2,learned_model,274.0
176,3,reference,97.0
176,3,learned_model,103.0
176,4,reference,126.0
176,4,learned_model,126.0
176,5,reference,194.0
176,5,learned_model,241.0
176,6,reference,76.0
176,6,learned_model,121.0
176,7,reference,74.0
176,7,learned_model,75.0
176,8,reference,160.0
176,8,learned_model,160.0
176,9,reference,244.0
176,9,learned_model,370.0
176,10,reference,190.0
176,10,learned_model,190.0
176,11,reference,249.0
176,11,learned_model,249.0
176,12,reference,236.0
176,12,learned_model,278.0
176,13,reference,78.0
176,13,learned_model,78.0
176,14,reference,179.0
176,14,learned_model,179.0
176,15,reference,332.0
176,15,learned_model,343.0
176,16,reference,252.0
176,16,learned_model,293.0
176,17,reference,156.0
176,17,learned_model,161.0
176,18,reference,76.0
176,18,learned_model,119.0
176,19,reference,78.0
176,19,learned_model,85.0
187,0,reference,132.0
187,0,learned_model,132.0
187,1,reference,262.0
187,1,learned_model,269.0
187,2,reference,124.0
187,2,learned_model,122.0
187,3,reference,183.0
187,3,learned_model,183.0
187,4,reference,137.0
187,4,learned_model,137.0
187,5,reference,202.0
187,5,learned_model,243.0
187,6,reference,76.0
187,6,learned_model,76.0
187,7,reference,288.0
187,7,learned_model,228.0
187,8,reference,156.0
187,8,learned_model,176.0
187,9,reference,173.0
187,9,learned_model,179.0
187,10,reference,96.0
187,10,learned_model,92.0
187,11,reference,82.0
187,11,learned_model,83.0
187,12,reference,97.0
187,12,learned_model,96.0
187,13,reference,242.0
187,13,learned_model,242.0
187,14,reference,161.0
187,14,learned_model,158.0
187,15,reference,206.0
187,15,learned_model,206.0
187,16,reference,182.0
