seed,algorithm,noise_level,real_steps,planning_updates,greedy_return,optimal_return,policy_loss
11,Q-learning,0.0,4800,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,4900,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,5000,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Dyna-Q,0.0,0,0,-2.0000000000000013,6.263607903500317,8.263607903500318
11,Dyna-Q,0.0,100,500,1.081191184025708,6.263607903500317,5.182416719474609
11,Dyna-Q,0.0,200,1000,6.191746974574256,6.263607903500317,0.07186092892606055
11,Dyna-Q,0.0,300,1500,6.205480720164309,6.263607903500317,0.058127183336007526
11,Dyna-Q,0.0,400,2000,6.205480720164309,6.263607903500317,0.058127183336007526
11,Dyna-Q,0.0,500,2500,6.226803270014355,6.263607903500317,0.036804633485961524
11,Dyna-Q,0.0,600,3000,6.243203409411358,6.263607903500317,0.02040449408895828
11,Dyna-Q,0.0,700,3500,6.243203409411358,6.263607903500317,0.02040449408895828
11,Dyna-Q,0.0,800,4000,6.199470857131132,6.263607903500317,0.0641370463691846
11,Dyna-Q,0.0,900,4500,6.199470857131132,6.263607903500317,0.0641370463691846
11,Dyna-Q,0.0,1000,5000,6.199470857131132,6.263607903500317,0.0641370463691846
11,Dyna-Q,0.0,1100,5500,6.199470857131132,6.263607903500317,0.0641370463691846
11,Dyna-Q,0.0,1200,6000,6.199470857131132,6.263607903500317,0.0641370463691846
11,Dyna-Q,0.0,1300,6500,6.199470857131132,6.263607903500317,0.0641370463691846
11,Dyna-Q,0.0,1400,7000,6.17265827569968,6.263607903500317,0.09094962780063653
11,Dyna-Q,0.0,1500,7500,6.173565817418905,6.263607903500317,0.09004208608141173
11,Dyna-Q,0.0,1600,8000,6.173565817418905,6.263607903500317,0.09004208608141173
11,Dyna-Q,0.0,1700,8500,6.17265827569968,6.263607903500317,0.09094962780063653
11,Dyna-Q,0.0,1800,9000,6.070604964360555,6.263607903500317,0.1930029391397614
11,Dyna-Q,0.0,1900,9500,6.068240055444477,6.263607903500317,0.19536784805583984
11,Dyna-Q,0.0,2000,10000,6.075992428311893,6.263607903500317,0.1876154751884238
11,Dyna-Q,0.0,2100,10500,3.0687765371302778,6.263607903500317,3.194831366370039
11,Dyna-Q,0.0,2200,11000,6.078381337793653,6.263607903500317,0.18522656570666385
11,Dyna-Q,0.0,2300,11500,6.078381337793653,6.263607903500317,0.18522656570666385
11,Dyna-Q,0.0,2400,12000,6.182149142751865,6.263607903500317,0.08145876074845138
11,Dyna-Q,0.0,2500,12500,5.497073185493435,6.263607903500317,0.7665347180068816
11,Dyna-Q,0.0,2600,13000,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,2700,13500,5.823133467632519,6.263607903500317,0.4404744358677979
11,Dyna-Q,0.0,2800,14000,5.88865414364399,6.263607903500317,0.37495375985632684
11,Dyna-Q,0.0,2900,14500,6.182864985050987,6.263607903500317,0.08074291844932979
11,Dyna-Q,0.0,3000,15000,5.567352901722612,6.263607903500317,0.6962550017777049
11,Dyna-Q,0.0,3100,15500,6.174720150794886,6.263607903500317,0.08888775270543103
11,Dyna-Q,0.0,3200,16000,6.174720150794886,6.263607903500317,0.08888775270543103
11,Dyna-Q,0.0,3300,16500,6.171720867287329,6.263607903500317,0.091887036212988
11,Dyna-Q,0.0,3400,17000,6.187568736619672,6.263607903500317,0.07603916688064505
11,Dyna-Q,0.0,3500,17500,6.187568736619672,6.263607903500317,0.07603916688064505
11,Dyna-Q,0.0,3600,18000,6.187568736619672,6.263607903500317,0.07603916688064505
11,Dyna-Q,0.0,3700,18500,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,3800,19000,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,3900,19500,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,4000,20000,6.197856483546392,6.263607903500317,0.06575141995392464
