seed,epoch,n_transitions,mse
22,22,600,3.9521640414214314e-06
22,23,600,3.581643898685702e-06
22,24,600,3.4273887972870547e-06
22,25,600,3.1104579360735923e-06
22,26,600,2.792187118709415e-06
22,27,600,2.7303399663555627e-06
22,28,600,2.603189746926211e-06
22,29,600,2.427162461284943e-06
22,30,600,2.2657222847268908e-06
22,31,600,2.1186391318463533e-06
22,32,600,2.069397422282667e-06
22,33,600,1.8521230638151264e-06
22,34,600,1.7451645877180885e-06
22,35,600,1.7087120155386066e-06
22,36,600,1.5592279516184998e-06
22,37,600,1.4680468050181318e-06
22,38,600,1.4126986822080462e-06
22,39,600,1.338286837811833e-06
22,40,600,1.3269542807249405e-06
22,41,600,1.2323852214840852e-06
22,42,600,1.1184288262867134e-06
22,43,600,1.0923615156188088e-06
22,44,600,1.0353159376264604e-06
22,45,600,1.003197631258732e-06
22,46,600,9.86405566556258e-07
22,47,600,8.898683915958826e-07
22,48,600,8.85377777362201e-07
22,49,600,8.717271698874115e-07
22,50,600,8.060981572629987e-07
22,51,600,7.405583376471201e-07
22,52,600,7.422897519853378e-07
22,53,600,7.255520613039391e-07
22,54,600,6.900698047885318e-07
22,55,600,6.424786904876543e-07
22,56,600,6.311246791986044e-07
22,57,600,6.094552654638775e-07
22,58,600,5.648711832787068e-07
22,59,600,5.649817559946027e-07
22,60,600,5.716773084953418e-07
22,61,600,5.097575905809112e-07
22,62,600,4.82402648129353e-07
22,63,600,4.653153945056194e-07
22,64,600,4.6548767583867867e-07
22,65,600,4.42044302860124e-07
22,66,600,4.3532451636445713e-07
22,67,600,4.2586419241567797e-07
22,68,600,4.0701533461479384e-07
22,69,600,4.0088893686779086e-07
22,70,600,4.0620341852254096e-07
22,71,600,4.150427207904565e-07
22,72,600,3.746971365695859e-07
22,73,600,3.660257828199208e-07
22,74,600,3.6158546005313643e-07
22,75,600,3.4553025763647096e-07
22,76,600,3.688591487173796e-07
22,77,600,3.3926928070190786e-07
22,78,600,3.1054536308554244e-07
22,79,600,3.028494186190456e-07
22,80,600,2.9279501841541016e-07
22,81,600,2.9486832527493933e-07
22,82,600,2.939624574824656e-07
22,83,600,2.902481134314209e-07
22,84,600,2.7229768748108983e-07
22,85,600,2.606767544558639e-07
22,86,600,2.6034877189311754e-07
22,87,600,2.6918684178075354e-07
22,88,600,2.611238151554349e-07
22,89,600,2.5914845549012073e-07
22,90,600,2.5219865037977227e-07
22,91,600,2.4107025510781903e-07
22,92,600,2.3944110394998124e-07
22,93,600,2.423981227575736e-07
22,94,600,2.439899295842751e-07
22,95,600,2.5942636969638867e-07
22,96,600,2.3670356984882204e-07
22,97,600,2.2882809898156235e-07
22,98,600,2.3499421816172563e-07
22,99,600,2.276955521252651e-07
22,100,600,2.2473566990524166e-07
22,101,600,2.2578707076167786e-07
22,102,600,2.1873374585742282e-07
22,103,600,2.1371195306061822e-07
22,104,600,2.3541411271827727e-07
22,105,600,2.6634526530020407e-07
22,106,600,2.2493414378818434e-07
22,107,600,2.127833397480572e-07
22,108,600,2.0997800588343368e-07
22,109,600,1.9583545840879724e-07
22,110,600,2.030700046948129e-07
22,111,600,2.3462966890077186e-07
22,112,600,2.438397705131329e-07
22,113,600,2.223904165008973e-07
22,114,600,2.0807758386952529e-07
22,115,600,2.07264087679816e-07
22,116,600,1.810576230510426e-07
22,117,600,1.8127255594591635e-07
22,118,600,1.7499324154881066e-07
22,119,600,1.7635623760868744e-07
33,0,600,0.02206352113402988
33,1,600,0.0020235824812277173
33,2,600,0.0003352062036068865
33,3,600,0.00010674651179885443
33,4,600,6.09676962707645e-05
33,5,600,4.3421678205241305e-05
33,6,600,3.223109234616123e-05
33,7,600,2.446116975893107e-05
33,8,600,1.8559288295555712e-05
33,9,600,1.4263952873175423e-05
33,10,600,1.1222575994906946e-05
33,11,600,8.896479774097986e-06
33,12,600,7.559497072706061e-06
33,13,600,6.581619137298395e-06
33,14,600,5.767207097194746e-06
33,15,600,5.2876897442681514e-06
33,16,600,4.781660642325541e-06
33,17,600,4.2524177579731545e-06
33,18,600,3.898271845508518e-06
33,19,600,3.5686029174317622e-06
33,20,600,3.493944345073511e-06
33,21,600,3.09402891592694e-06
33,22,600,2.907240398024825e-06
33,23,600,2.7903329031400254e-06
33,24,600,2.5910901238028986e-06
33,25,600,2.523086155442319e-06
33,26,600,2.3715879718254556e-06
33,27,600,2.218574211024373e-06
33,28,600,2.0926327357828032e-06
33,29,600,2.0073345659080877e-06
33,30,600,1.95969061774361e-06
33,31,600,1.8304008844289024e-06
33,32,600,1.7265332411098872e-06
33,33,600,1.6407146266541724e-06
33,34,600,1.6055492240315958e-06
33,35,600,1.559190234514206e-06
33,36,600,1.4860916268700843e-06
33,37,600,1.4057925275330108e-06
33,38,600,1.3568367260057512e-06
33,39,600,1.2975511277832799e-06
33,40,600,1.2355054710305443e-06
33,41,600,1.2082663649954684e-06
33,42,600,1.169900566298422e-06
33,43,600,1.0976848174275227e-06
33,44,600,1.0590963442107177e-06
33,45,600,1.015079911774975e-06
33,46,600,1.01243806212599e-06
33,47,600,9.552434875104158e-07
33,48,600,9.130138446260773e-07
33,49,600,9.179964948950662e-07
33,50,600,8.673915568866313e-07
33,51,600,8.313308934535408e-07
33,52,600,8.153883521500624e-07
33,53,600,7.846905254226793e-07
