seed,state,rep,requested_l1,actual_l1,margin,group,anchored_gap,q_error,decision_flip,strict_flip,policy_loss
11,0,0,0.05,0.0499999999999999,0.006652309533436096,narrow,0.03487136093771959,0.03038390460757423,0,0,0.0
11,0,1,0.05,0.04999999999999998,0.006652309533436096,narrow,0.04772563254925721,0.044224304727668695,0,0,0.0
11,0,2,0.05,0.049999999999999996,0.006652309533436096,narrow,0.015481790139570073,0.00950684318291728,0,0,0.0
11,0,3,0.05,0.05000000000000004,0.006652309533436096,narrow,0.05035898053161336,0.04705967267636968,0,0,0.0
11,0,4,0.05,0.0499999999999997,0.006652309533436096,narrow,0.05668302014742821,0.05386886741748853,0,0,0.0
11,0,0,0.15,0.15000000000000027,0.006652309533436096,narrow,0.11789097800057746,0.11977245595385444,0,0,0.0
11,0,1,0.15,0.15000000000000044,0.006652309533436096,narrow,0.14418151510139854,0.1480798983235152,0,0,0.0
11,0,2,0.15,0.1499999999999996,0.006652309533436096,narrow,0.07572140053558662,0.07436779650298941,0,0,0.0
11,0,3,0.15,0.1500000000000004,0.006652309533436096,narrow,0.16320825898356262,0.16856629819663915,0,0,0.0
11,0,4,0.15,0.15000000000000022,0.006652309533436096,narrow,0.15037166213853403,0.1547449287807261,0,0,0.0
11,0,0,0.35,0.35,0.006652309533436096,narrow,0.24211246168317668,0.2535237169849198,0,0,0.0
11,0,1,0.35,0.35000000000000026,0.006652309533436096,narrow,0.2308974096000398,0.24144829078504149,0,0,0.0
11,0,2,0.35,0.3499999999999999,0.006652309533436096,narrow,0.3292769530684785,0.34737512089910716,0,0,0.0
11,0,3,0.35,0.3499999999999997,0.006652309533436096,narrow,0.2264660002341996,0.2366769213467208,0,0,0.0
11,0,4,0.35,0.3500000000000001,0.006652309533436096,narrow,0.3181755472931034,0.3354220594989741,0,0,0.0
11,0,0,0.7,0.7000000000000001,0.006652309533436096,narrow,0.4052897481224962,0.5794210301087315,0,0,0.0
11,0,1,0.7,0.6999999999999998,0.006652309533436096,narrow,0.3896619931537204,0.45053232933537224,0,0,0.0
11,0,2,0.7,0.7,0.006652309533436096,narrow,0.2242075674630435,0.23424523061062263,0,0,0.0
11,0,3,0.7,0.6999999999999998,0.006652309533436096,narrow,0.3988447387980889,0.5262663140312194,0,0,0.0
11,0,4,0.7,0.7,0.006652309533436096,narrow,0.41733114516900294,0.6787315212140452,0,0,0.0
11,1,0,0.05,0.049999999999999975,0.37873492870623604,narrow,0.3823228196846209,0.027489211598812346,0,0,0.0
11,1,1,0.05,0.04999999999999997,0.37873492870623604,narrow,0.3839090858577814,0.03964264846430332,0,0,0.0
11,1,2,0.05,0.050000000000000024,0.37873492870623604,narrow,0.38284872662472225,0.03151853334934618,0,0,0.0
11,1,3,0.05,0.049999999999999566,0.37873492870623604,narrow,0.38352587582040343,0.03670662229522392,0,0,0.0
11,1,4,0.05,0.05000000000000009,0.37873492870623604,narrow,0.38254880413142445,0.029220628276086735,0,0,0.0
11,1,0,0.15,0.15000000000000005,0.37873492870623604,narrow,0.38627304830979714,0.057754532143753146,0,0,0.0
11,1,1,0.15,0.14999999999999958,0.37873492870623604,narrow,0.3824669376127581,0.028593394598043886,0,0,0.0
11,1,2,0.15,0.1500000000000001,0.37873492870623604,narrow,0.3943340580412613,0.1195152722396573,0,0,0.0
11,1,3,0.15,0.15000000000000033,0.37873492870623604,narrow,0.37672097066657617,0.01352255845973005,0,0,0.007162648219040335
11,1,4,0.15,0.14999999999999966,0.37873492870623604,narrow,0.3972965357840481,0.14221277838429014,0,0,0.0
11,1,0,0.35,0.35000000000000014,0.37873492870623604,narrow,0.3910611688671093,0.09443949831294773,0,0,0.0
11,1,1,0.35,0.3500000000000001,0.37873492870623604,narrow,0.39478416926190274,0.1229638727300113,0,0,0.0
11,1,2,0.35,0.3500000000000003,0.37873492870623604,narrow,0.4099487113998963,0.2391494843167683,0,0,0.0
11,1,3,0.35,0.35000000000000037,0.37873492870623604,narrow,0.4079672945824022,0.22396853637557346,0,0,0.0
11,1,4,0.35,0.35,0.37873492870623604,narrow,0.40451827314751654,0.19754329642165924,0,0,0.0
11,1,0,0.7,0.6999999999999997,0.37873492870623604,narrow,0.4479830286778128,0.5307673769495285,0,0,0.025135812431024362
11,1,1,0.7,0.7000000000000001,0.37873492870623604,narrow,0.4216869044093796,0.3290835635209115,0,0,0.0
11,1,2,0.7,0.7000000000000001,0.37873492870623604,narrow,0.4531401393583616,0.5703730705563723,0,0,0.025135812431024362
11,1,3,0.7,0.7,0.37873492870623604,narrow,0.44981914353524743,0.5448684127757488,0,0,0.025135812431024362
11,1,4,0.7,0.7000000000000002,0.37873492870623604,narrow,0.4335985080843763,0.4203462568065808,0,0,0.0
11,2,0,0.05,0.050000000000000336,0.380892318830397,narrow,0.38318161862946365,0.017584506071880668,0,0,0.0
11,2,1,0.05,0.05000000000000003,0.380892318830397,narrow,0.3791341369369965,0.0135048979572705,0,0,0.007162648219040335
11,2,2,0.05,0.049999999999999586,0.380892318830397,narrow,0.38152147221760213,0.0048326355342194205,0,0,0.0
11,2,3,0.05,0.049999999999999566,0.380892318830397,narrow,0.38012107784893967,0.005924034819255297,0,0,0.0
11,2,4,0.05,0.04999999999999921,0.380892318830397,narrow,0.3812920137070668,0.003070125192232709,0,0,0.0
11,2,0,0.15,0.14999999999999994,0.380892318830397,narrow,0.3841540331443847,0.025053789452281094,0,0,0.0
11,2,1,0.15,0.15000000000000002,0.380892318830397,narrow,0.37895307842309744,0.01489563958853779,0,0,0.007162648219040335
11,2,2,0.15,0.15,0.380892318830397,narrow,0.3859849016806258,0.03911700603294932,0,0,0.0
11,2,3,0.15,0.15000000000000044,0.380892318830397,narrow,0.37652972468666235,0.033509837043213864,0,0,0.007162648219040335
11,2,4,0.15,0.14999999999999955,0.380892318830397,narrow,0.38120175090060204,0.002376801028646014,0,0,0.0
11,2,0,0.35,0.34999999999999987,0.380892318830397,narrow,0.38305073223795727,0.016579145154455688,0,0,0.0
11,2,1,0.35,0.35000000000000003,0.380892318830397,narrow,0.38214490971005954,0.00962136629623167,0,0,0.0
11,2,2,0.35,0.35000000000000014,0.380892318830397,narrow,0.3754982005155938,0.041433151873761176,0,0,0.007162648219040335
11,2,3,0.35,0.34999999999999964,0.380892318830397,narrow,0.3902299211383635,0.0717237316614927,0,0,0.0
11,2,4,0.35,0.3500000000000001,0.380892318830397,narrow,0.38287202223185446,0.015206442815937748,0,0,0.0
11,2,0,0.7,0.6999999999999998,0.380892318830397,narrow,0.36920353299362674,0.08978357732113906,0,0,0.007162648219040335
11,2,1,0.7,0.7,0.380892318830397,narrow,0.3784027414747184,0.019122872480705766,0,0,0.007162648219040335
11,2,2,0.7,0.6999999999999996,0.380892318830397,narrow,0.3780930324640437,0.021501800736729137,0,0,0.007162648219040335
11,2,3,0.7,0.6999999999999995,0.380892318830397,narrow,0.34828315986677616,0.25047656669026175,0,0,0.007162648219040335
11,2,4,0.7,0.6999999999999997,0.380892318830397,narrow,0.3783067966347513,0.019859841322356075,0,0,0.007162648219040335
11,3,0,0.05,0.05000000000000036,0.029790238440730477,narrow,0.017094779618078704,0.014600502281913563,0,0,0.007162648219040335
11,3,1,0.05,0.0499999999999997,0.029790238440730477,narrow,0.012679048275414218,0.01967884536864606,0,0,0.007162648219040335
11,3,2,0.05,0.049999999999999434,0.029790238440730477,narrow,0.022009558230439374,0.008948226350240951,0,0,0.0
11,3,3,0.05,0.05000000000000039,0.029790238440730477,narrow,0.018913075137692914,0.012509358649047009,0,0,0.007162648219040335
11,3,4,0.05,0.049999999999999524,0.029790238440730477,narrow,0.01096692322045456,0.02164788690713415,0,0,0.007162648219040335
11,3,0,0.15,0.1499999999999996,0.029790238440730477,narrow,-0.0457527745478874,0.08001324913243302,1,1,0.00931979413910522
11,3,1,0.15,0.1500000000000003,0.029790238440730477,narrow,0.00742589808328642,0.025720267930740448,0,0,0.007162648219040335
11,3,2,0.15,0.14999999999999955,0.029790238440730477,narrow,-0.012843098415183718,0.04710357299972934,1,1,0.00931979413910522
11,3,3,0.15,0.15000000000000013,0.029790238440730477,narrow,0.018905642660857147,0.012517906421659397,0,0,0.007162648219040335
11,3,4,0.15,0.14999999999999994,0.029790238440730477,narrow,0.004111921653099593,0.029531529981777993,0,0,0.007162648219040335
11,3,0,0.35,0.35,0.029790238440730477,narrow,-0.09878861709741038,0.133049091681956,1,1,0.00931979413910522
11,3,1,0.35,0.34999999999999953,0.029790238440730477,narrow,-0.19503549881379634,0.22929597339834196,1,1,0.00931979413910522
11,3,2,0.35,0.35,0.029790238440730477,narrow,-0.06132650542768747,0.09558698001223309,1,1,0.00931979413910522
11,3,3,0.35,0.3500000000000003,0.029790238440730477,narrow,-0.06334878223690499,0.09760925682145061,1,1,0.00931979413910522
11,3,4,0.35,0.34999999999999964,0.029790238440730477,narrow,-0.022646457228152173,0.05690693181269779,1,1,0.00931979413910522
11,3,0,0.7,0.6999999999999998,0.029790238440730477,narrow,-0.28308882729295437,0.3173493018775,1,1,0.00931979413910522
11,3,1,0.7,0.7,0.029790238440730477,narrow,-0.24103723313964132,0.27529770772418694,1,1,0.00931979413910522
11,3,2,0.7,0.6999999999999996,0.029790238440730477,narrow,-0.415375094856099,0.44963556944064464,1,1,0.00931979413910522
11,3,3,0.7,0.6999999999999997,0.029790238440730477,narrow,-0.11864333311003872,0.15290380769458434,1,1,0.00931979413910522
